ID,holiday,temp,rain_1h,snow_1h,clouds_all,year,month,day,hour,traffic_volume
14579,0,296.08,0.0,0.0,90,2018,6,16,14,4900
14580,0,278.58,0.0,0.0,1,2018,9,22,5,960
14581,0,278.21,0.0,0.0,90,2012,11,7,16,6267
14582,0,274.82,0.0,0.0,1,2016,4,2,17,4859
14583,0,270.69,0.0,0.0,90,2015,12,3,3,342
14584,0,294.17,0.0,0.0,1,2016,8,29,4,867
14585,0,263.01,0.0,0.0,90,2018,1,30,12,4783
14586,0,301.62,0.0,0.0,1,2015,7,26,19,3070
14587,0,293.15,0.0,0.0,1,2017,6,11,23,1183
14588,0,274.65,0.0,0.0,90,2016,2,24,0,691
14589,0,286.59,0.0,0.0,1,2013,5,13,20,2789
14590,0,280.1,0.0,0.0,99,2012,10,10,8,6283
14591,0,275.02,0.0,0.0,90,2017,3,26,8,1919
14592,0,300.39,0.0,0.0,20,2014,5,30,20,3208
14593,0,271.62,0.0,0.0,90,2017,2,24,0,696
14594,0,265.95,0.0,0.0,90,2014,2,13,13,4840
14595,0,294.74,4.8,0.0,90,2014,7,7,18,4063
14596,0,301.08,0.0,0.0,40,2017,7,28,15,5945
14597,0,290.0,0.0,0.0,40,2013,7,24,3,364
14598,0,276.793,0.0,0.0,64,2014,1,6,3,242
14599,0,291.52,0.0,0.0,90,2013,5,20,9,5114
14600,0,277.3,0.0,0.0,90,2016,3,27,13,4083
14601,0,268.93,0.0,0.0,90,2012,11,25,14,4076
14602,0,271.22,0.0,0.0,75,2018,3,10,10,4476
14603,0,284.86,0.0,0.0,90,2016,3,15,6,5375
14604,0,293.53,1.27,0.0,90,2015,8,7,5,2780
14605,0,282.75,0.0,0.0,90,2017,5,21,10,3629
14606,0,286.75,0.0,0.0,90,2017,5,23,13,4771
14607,0,265.15,0.0,0.0,1,2018,2,16,16,6371
14608,0,285.22,0.0,0.0,75,2017,4,12,13,4730
14609,0,289.46,1.27,0.0,40,2018,8,28,9,5153
14610,0,270.75,0.0,0.0,90,2017,12,5,0,693
14611,0,272.19,0.0,0.0,90,2013,4,15,6,5806
14612,0,294.49,3.05,0.0,20,2018,9,12,10,4499
14613,0,272.69,0.0,0.0,90,2016,2,1,12,4739
14614,0,305.56,0.0,0.0,1,2015,8,14,16,5814
14615,0,276.04,0.0,0.0,64,2013,11,9,19,3429
14616,0,275.01,0.0,0.0,90,2018,3,26,17,5956
14617,0,296.84,0.0,0.0,1,2017,5,26,20,2988
14618,0,296.46,0.0,0.0,0,2013,6,11,19,3188
14619,0,285.94,0.0,0.0,1,2018,5,16,0,720
14620,0,284.07,0.0,0.0,1,2017,4,5,19,3612
14621,0,291.15,0.0,0.0,1,2013,5,1,7,6017
14622,0,295.22,0.0,0.0,90,2017,7,22,0,1454
14623,0,290.16,0.0,0.0,92,2016,8,20,3,400
14624,0,292.34,0.0,0.0,1,2015,7,29,2,305
14625,0,273.23,0.0,0.0,90,2015,11,26,10,2142
14626,0,274.62,0.0,0.0,90,2017,1,22,0,1117
14627,0,283.42,0.0,0.0,1,2017,10,18,6,5927
14628,0,259.22,0.0,0.0,40,2016,2,13,21,2868
14629,0,272.83,0.0,0.0,5,2013,3,23,13,5000
14630,0,296.744,0.0,0.0,80,2017,6,21,13,4961
14631,0,290.39,0.0,0.0,90,2013,5,21,23,1016
14632,0,274.59,0.0,0.0,1,2015,12,20,10,4497
14633,0,271.42,0.0,0.0,75,2018,3,24,8,3049
14634,0,289.52,0.0,0.0,0,2013,7,11,7,6508
14635,0,273.63,0.0,0.0,75,2018,2,27,11,4607
14636,0,300.82,0.0,0.0,88,2014,7,10,18,4960
14637,0,294.43,2.62,0.0,90,2018,9,4,9,5242
14638,0,285.14,0.0,0.0,1,2015,8,20,8,5820
14639,0,286.07,0.0,0.0,36,2013,6,9,4,481
14640,0,284.4,0.0,0.0,40,2017,3,31,20,3309
14641,0,264.55,0.0,0.0,64,2014,1,9,22,1654
14642,0,273.41,0.0,0.0,90,2013,4,19,17,5861
14643,0,285.93,1.66,0.0,90,2014,6,7,11,4991
14644,0,263.93,0.0,0.0,1,2013,1,9,4,773
14645,0,285.57,0.3,0.0,88,2013,6,6,8,6219
14646,0,296.03,0.0,0.0,75,2014,7,8,13,5219
14647,0,287.0,0.0,0.0,75,2018,5,22,5,3026
14648,0,285.93,0.0,0.0,90,2017,8,3,13,5104
14649,0,289.34,0.0,0.0,1,2016,11,6,18,3204
14650,0,282.01,0.0,0.0,5,2017,10,4,21,2511
14651,0,282.341,0.0,0.0,0,2016,10,10,1,327
14652,0,298.28,0.0,0.0,90,2017,7,25,20,2874
14653,0,281.11,0.0,0.0,1,2013,5,13,23,958
14654,0,274.44,0.0,0.0,64,2013,12,3,4,818
14655,0,292.28,0.0,0.0,12,2014,7,13,22,2049
14656,0,258.2,0.0,0.0,64,2014,1,22,9,4939
14657,0,274.82,0.0,0.0,90,2016,3,10,2,280
14658,0,290.15,0.0,0.0,1,2015,11,3,12,5042
14659,0,271.23,0.0,0.0,20,2012,10,8,8,5966
14660,0,295.96,0.0,0.0,32,2013,8,2,11,5458
14661,0,288.62,4.74,0.0,90,2018,9,24,23,826
14662,0,290.15,0.0,0.0,90,2018,7,26,10,4390
14663,0,293.89,0.0,0.0,68,2014,6,5,20,3148
14664,0,279.15,0.0,0.0,90,2013,11,17,13,4351
14665,0,296.48,0.0,0.0,20,2016,8,30,19,2932
14666,0,274.83,0.0,0.0,90,2013,3,10,22,2462
14667,0,282.865,0.0,0.0,24,2016,10,18,6,5747
14668,0,273.58,0.0,0.0,90,2016,11,18,19,2524
14669,0,271.29,0.0,0.0,40,2017,2,24,1,338
14670,0,263.02,0.0,0.0,87,2013,2,7,8,6076
14671,0,298.39,1.02,0.0,90,2018,8,26,13,4494
14672,0,293.244,0.0,0.0,92,2016,10,11,20,2445
14673,0,294.61,0.0,0.0,1,2013,4,27,17,4393
14674,0,290.54,0.0,0.0,90,2018,6,19,13,4728
14675,0,278.35,0.0,0.0,90,2013,10,20,14,4655
14676,0,267.86,0.0,0.0,40,2018,1,23,13,3670
14677,0,296.88,0.0,0.0,90,2013,6,1,17,4382
14678,0,293.86,0.0,0.0,75,2017,8,21,19,3110
14679,0,261.81,0.0,0.0,1,2014,2,14,18,4973
14680,0,251.77,0.0,0.0,40,2014,2,27,12,4604
14681,0,274.81,0.0,0.0,90,2017,3,17,22,3635
14682,0,287.27,0.25,0.0,92,2013,10,3,14,5272
14683,0,262.36,0.0,0.0,1,2013,3,21,11,4949
14684,0,285.59,0.0,0.0,92,2016,9,27,17,5442
14685,0,271.65,0.0,0.0,90,2014,1,10,21,2712
14686,0,297.51,0.0,0.0,1,2013,8,16,18,4995
14687,0,251.56,0.0,0.0,90,2013,1,25,6,5269
14688,0,289.97,0.0,0.0,24,2013,8,1,7,6160
14689,0,282.99,0.0,0.0,0,2016,6,8,6,6154
14690,0,257.93,0.0,0.0,90,2016,1,11,17,5310
14691,0,293.51,0.0,0.0,1,2016,7,26,2,278
14692,0,284.62,0.0,0.0,1,2017,9,9,0,1391
14693,0,295.86,0.0,0.0,1,2018,8,8,10,4610
14694,0,277.09,0.0,0.0,40,2016,11,14,23,873
14695,0,264.53,0.0,0.0,90,2015,12,31,13,5245
14696,0,274.58,0.0,0.0,1,2017,4,6,5,2703
14697,0,274.18,0.0,0.0,90,2013,1,11,23,1629
14698,0,279.43,0.0,0.0,1,2017,9,30,7,2279
14699,0,287.12,0.0,0.0,75,2012,11,22,20,3002
14700,0,292.15,0.0,0.0,90,2018,7,25,8,5651
14701,0,297.08,0.0,0.0,76,2013,7,8,6,6055
14702,0,280.32,0.0,0.0,1,2016,5,4,7,6131
14703,0,294.01,0.0,0.0,1,2016,8,23,2,322
14704,0,285.43,0.0,0.0,1,2017,9,1,4,853
14705,0,257.22,0.0,0.0,90,2014,2,8,10,3965
14706,0,283.8,0.0,0.0,1,2013,5,7,1,336
14707,0,286.64,0.0,0.0,90,2013,10,5,8,3452
14708,0,278.68,0.0,0.0,90,2017,3,26,16,4396
14709,0,287.29,0.0,0.0,75,2016,9,17,7,2430
14710,0,298.67,0.0,0.0,40,2015,8,10,14,5173
14711,0,294.03,0.0,0.0,40,2018,8,20,20,2726
14712,0,289.75,0.0,0.0,1,2017,8,30,3,349
14713,0,300.35,0.0,0.0,40,2017,7,29,13,4473
14714,0,273.15,0.0,0.0,1,2017,3,8,15,5956
14715,0,279.82,0.0,0.0,90,2017,2,22,11,4584
14716,0,272.21,0.0,0.0,90,2018,3,20,14,4958
14717,0,285.48,0.0,0.0,40,2017,10,20,8,5358
14718,0,269.22,0.0,0.0,1,2018,1,20,4,399
14719,0,276.55,0.0,0.0,92,2017,3,23,21,3905
14720,0,296.76,0.0,0.0,40,2015,7,11,21,2827
14721,0,274.3,0.0,0.0,5,2018,3,29,21,3584
14722,0,277.95,0.0,0.0,75,2016,3,20,14,4760
14723,0,296.77,0.0,0.0,1,2014,7,3,14,5980
14724,0,270.94,0.0,0.0,90,2018,4,8,21,1799
14725,0,280.49,0.0,0.0,1,2017,5,19,0,797
14726,0,272.62,0.0,0.0,90,2018,4,14,1,441
14727,0,268.98,0.0,0.0,75,2012,10,13,7,2220
14728,0,274.89,0.0,0.0,90,2015,12,6,17,4001
14729,0,292.42,0.0,0.0,75,2015,9,3,6,5815
14730,0,296.59,0.0,0.0,1,2015,8,9,19,3504
14731,0,282.429,0.0,0.0,0,2016,10,22,11,3981
14732,0,281.23,0.0,0.0,40,2018,9,28,20,3538
14733,0,276.8,0.0,0.0,1,2015,10,16,2,369
14734,0,297.63,0.0,0.0,40,2013,5,8,15,6089
14735,0,260.29,0.0,0.0,1,2016,2,12,13,5382
14736,0,292.51,0.0,0.0,1,2017,7,21,2,333
14737,0,270.22,0.0,0.0,75,2018,2,23,10,4140
14738,0,269.75,0.0,0.0,90,2018,1,31,20,2856
14739,0,273.15,0.0,0.0,5,2018,4,17,10,4456
14740,0,274.71,0.0,0.0,90,2017,3,16,23,2198
14741,0,285.79,0.0,0.0,90,2017,6,25,8,2284
14742,0,301.92,0.0,0.0,1,2018,7,15,13,4233
14743,0,277.95,0.0,0.0,75,2018,1,19,14,5302
14744,0,260.82,0.0,0.0,20,2013,1,15,17,5739
14745,0,250.9,0.0,0.0,20,2014,2,28,5,2501
14746,0,253.4,0.0,0.0,1,2017,1,8,1,685
14747,0,276.34,0.0,0.0,90,2012,10,27,18,4198
14748,0,276.01,0.0,0.0,90,2017,3,26,3,329
14749,0,288.69,0.0,0.0,1,2017,7,24,2,300
14750,0,294.87,0.0,0.0,90,2018,5,29,19,3036
14751,0,255.41,0.0,0.0,75,2018,1,16,8,5066
14752,0,282.06,0.0,0.0,40,2012,11,9,17,6154
14753,0,292.02,0.0,0.0,0,2013,8,11,10,3335
14754,0,292.72,0.0,0.0,90,2017,6,22,11,4659
14755,0,293.41,0.0,0.0,92,2013,8,20,9,5438
14756,0,288.31,0.0,0.0,92,2013,7,28,19,3504
14757,0,282.46,0.0,0.0,40,2013,5,12,20,2341
14758,0,274.65,0.0,0.0,90,2017,10,27,5,2805
14759,0,270.81,0.0,0.0,90,2012,12,10,20,2131
14760,0,281.15,0.0,0.0,90,2015,10,28,6,5687
14761,0,301.49,0.0,0.0,1,2018,5,7,19,3292
14762,0,281.62,0.0,0.0,90,2017,5,20,20,2967
14763,0,263.01,0.0,0.0,1,2018,1,28,22,1433
14764,0,293.41,0.0,0.0,40,2017,6,13,8,5855
14765,0,256.59,0.0,0.0,0,2014,2,1,0,1126
14766,0,271.16,0.0,0.0,90,2013,3,12,2,258
14767,0,272.08,0.0,0.0,40,2017,1,15,16,3746
14768,0,282.26,0.0,0.0,75,2012,11,20,3,346
14769,0,290.48,0.0,0.0,90,2017,9,2,5,745
14770,0,271.55,0.0,0.0,90,2017,11,9,1,348
14771,0,287.18,0.0,0.0,75,2018,9,24,7,6591
14772,0,284.48,0.0,0.0,90,2016,3,15,11,4584
14773,0,271.88,0.0,0.0,90,2013,4,13,1,707
14774,0,274.39,0.0,0.0,64,2013,11,10,9,2567
14775,0,275.28,0.0,0.0,90,2018,3,26,14,4992
14776,0,293.36,0.0,0.0,1,2016,8,23,8,5648
14777,0,272.06,0.0,0.0,1,2012,11,2,23,1693
14778,0,296.19,0.0,0.0,12,2016,6,17,21,3014
14779,0,279.08,0.0,0.0,90,2017,4,20,11,5023
14780,0,283.09,0.0,0.0,90,2017,5,18,4,836
14781,0,273.61,0.0,0.0,64,2014,1,24,20,2415
14782,0,259.88,0.0,0.0,5,2016,2,12,11,5165
14783,0,293.85,0.57,0.0,36,2013,9,9,9,4944
14784,0,262.56,0.0,0.0,1,2013,3,23,2,580
14785,0,291.35,0.25,0.0,48,2014,6,2,2,292
14786,0,294.28,0.0,0.0,1,2017,6,22,2,336
14787,0,290.3,0.0,0.0,20,2014,5,29,8,6293
14788,0,301.32,0.0,0.0,1,2015,7,13,19,3058
14789,0,289.45,3.05,0.0,36,2016,6,9,1,427
14790,0,272.29,0.0,0.0,90,2015,12,21,2,272
14791,0,302.15,0.0,0.0,75,2017,7,31,16,6304
14792,0,299.32,0.0,0.0,20,2016,7,3,16,3220
14793,0,275.65,0.0,0.0,5,2016,3,10,20,2875
14794,0,273.48,0.0,0.0,90,2016,1,29,21,2834
14795,0,290.65,0.0,0.0,90,2018,6,9,6,1398
14796,0,294.68,3.27,0.0,75,2016,9,6,11,4335
14797,0,291.76,0.0,0.0,1,2016,11,6,17,3790
14798,0,282.78,0.0,0.0,90,2017,4,14,0,1460
14799,0,301.77,0.0,0.0,64,2013,7,10,18,4766
14800,0,268.01,0.0,0.0,90,2013,2,23,22,2441
14801,0,271.15,0.0,0.0,90,2016,11,27,6,862
14802,0,283.69,0.25,0.0,1,2014,6,8,7,1434
14803,0,250.22,0.0,0.0,5,2017,12,31,13,3212
14804,0,260.44,0.0,0.0,1,2012,12,22,21,2567
14805,0,288.27,0.0,0.0,1,2015,8,5,2,308
14806,0,266.16,0.0,0.0,1,2014,2,18,0,511
14807,0,301.42,0.0,0.0,5,2018,7,7,19,3416
14808,0,286.22,0.0,0.0,1,2017,9,1,0,808
14809,0,270.94,0.0,0.0,75,2014,1,29,18,4584
14810,0,260.8,0.0,0.0,64,2013,12,13,16,6314
14811,0,296.01,0.0,0.0,1,2014,6,3,17,6387
14812,0,275.56,0.0,0.0,90,2018,3,26,3,336
14813,0,289.58,0.0,0.0,1,2017,8,8,0,665
14814,0,295.37,0.0,0.0,40,2015,8,17,14,5196
14815,0,275.22,0.0,0.0,90,2015,11,26,6,827
14816,0,278.48,0.0,0.0,1,2015,10,2,4,870
14817,0,257.86,0.0,0.0,64,2013,12,10,2,257
14818,0,274.22,0.0,0.0,90,2015,12,16,2,269
14819,0,283.82,0.0,0.0,1,2017,4,23,1,867
14820,0,283.22,0.0,0.0,92,2013,10,17,12,5271
14821,0,293.72,0.0,0.0,1,2017,8,1,1,406
14822,0,272.82,0.0,0.0,90,2017,11,6,17,6175
14823,0,295.45,0.0,0.0,20,2016,6,25,5,1009
14824,0,285.73,0.0,0.0,1,2017,8,29,6,5964
14825,0,294.3,0.0,0.0,1,2017,7,22,4,583
14826,0,295.23,2.06,0.0,90,2015,9,17,9,5359
14827,0,274.36,0.0,0.0,90,2013,4,19,0,516
14828,0,279.9,0.0,0.0,90,2013,11,20,6,5990
14829,0,283.44,0.0,0.0,90,2012,10,25,20,2856
14830,0,260.92,0.0,0.0,90,2018,1,11,12,3587
14831,0,289.5,0.0,0.0,20,2016,6,1,0,628
14832,0,259.15,0.0,0.0,40,2016,2,13,18,3223
14833,0,293.92,0.0,0.0,1,2015,8,10,21,2700
14834,0,289.84,0.0,0.0,40,2014,4,25,17,6349
14835,0,292.07,0.0,0.0,1,2014,7,7,4,870
14836,0,287.57,0.0,0.0,1,2016,5,30,1,607
14837,0,287.17,0.0,0.0,92,2013,10,4,18,5317
14838,0,293.14,0.0,0.0,40,2015,10,19,18,4394
14839,0,275.72,0.0,0.0,90,2018,3,30,13,5589
14840,0,294.51,0.0,0.0,1,2016,7,23,5,830
14841,0,277.22,0.0,0.0,90,2016,12,21,14,5328
14842,0,289.71,0.0,0.0,90,2013,6,2,0,1221
14843,0,301.86,0.0,0.0,8,2013,7,19,22,2920
14844,0,286.532,0.0,0.0,0,2016,7,16,8,2606
14845,0,277.02,0.0,0.0,1,2017,2,22,5,2622
14846,0,248.84,0.0,0.0,1,2016,12,18,0,957
14847,0,281.06,0.0,0.0,90,2012,11,19,5,2579
14848,0,292.34,0.0,0.0,1,2017,6,22,5,2880
14849,0,253.39,0.0,0.0,5,2014,1,22,19,3178
14850,0,256.35,0.0,0.0,1,2016,1,11,13,4477
14851,0,302.46,0.0,0.0,40,2013,5,15,14,5409
14852,0,282.16,0.42,0.0,90,2016,5,10,8,5878
14853,0,292.01,0.0,0.0,90,2018,8,1,7,5853
14854,0,278.0,0.0,0.0,40,2014,4,24,23,3552
14855,0,287.81,0.0,0.0,90,2012,10,25,0,578
14856,0,259.55,0.0,0.0,5,2016,12,13,14,5006
14857,0,272.08,0.0,0.0,1,2018,1,27,12,5344
14858,0,262.79,0.0,0.0,89,2012,12,12,19,3104
14859,0,278.63,0.0,0.0,90,2013,3,31,4,245
14860,0,288.01,0.0,0.0,1,2014,6,6,5,2792
14861,0,275.44,0.0,0.0,20,2012,11,9,4,683
14862,0,257.39,0.0,0.0,1,2013,1,1,19,2154
14863,0,292.94,0.0,0.0,1,2015,8,30,23,1221
14864,0,289.35,0.0,0.0,90,2018,5,14,22,2107
14865,0,274.55,0.0,0.0,1,2016,4,1,7,6558
14866,0,290.96,0.51,0.0,90,2016,5,28,14,4274
14867,0,246.47,0.0,0.0,13,2013,1,23,5,2486
14868,0,274.01,0.0,0.0,90,2017,12,11,11,4291
14869,0,296.18,0.0,0.0,75,2016,9,2,15,5307
14870,0,293.51,0.0,0.0,1,2015,8,22,0,1255
14871,0,260.08,0.0,0.0,1,2015,12,19,6,1215
14872,0,289.28,0.0,0.0,40,2013,5,14,14,5640
14873,0,280.61,0.0,0.0,1,2016,3,24,17,6382
14874,0,306.2,0.0,0.0,0,2013,8,26,14,5542
14875,0,299.8,0.0,0.0,1,2015,9,21,15,5867
14876,0,266.55,0.0,0.0,75,2017,2,9,23,1158
14877,0,273.96,0.0,0.0,90,2013,5,4,10,4418
14878,0,268.42,0.0,0.0,1,2017,2,5,17,3671
14879,0,288.86,0.0,0.0,90,2018,9,19,4,913
14880,0,293.38,0.0,0.0,1,2015,9,10,13,5092
14881,0,260.59,0.0,0.0,1,2014,2,14,19,3930
14882,0,273.41,0.0,0.0,90,2018,4,5,21,2888
14883,0,291.02,0.0,0.0,40,2014,7,17,9,5227
14884,0,293.77,0.0,0.0,90,2015,10,6,16,6557
14885,0,274.98,0.0,0.0,90,2012,12,16,17,3775
14886,0,272.11,0.0,0.0,90,2013,1,17,8,5912
14887,0,287.06,0.3,0.0,1,2015,8,5,6,5713
14888,0,285.0,0.0,0.0,5,2015,9,18,8,6069
14889,0,271.46,0.0,0.0,90,2015,12,2,4,877
14890,0,296.54,1.8,0.0,40,2015,9,5,6,1376
14891,0,271.81,0.0,0.0,90,2013,4,20,7,2150
14892,0,269.51,0.0,0.0,1,2013,4,1,22,2630
14893,0,283.699,0.0,0.0,80,2016,10,29,9,3823
14894,0,271.98,0.0,0.0,90,2013,2,10,19,1539
14895,0,257.68,0.0,0.0,90,2018,1,15,8,3231
14896,0,296.41,0.0,0.0,1,2017,7,8,11,4213
14897,0,271.08,0.0,0.0,90,2018,4,3,6,4311
14898,0,292.22,0.0,0.0,40,2018,8,6,8,5582
14899,0,279.261,0.0,0.0,48,2016,10,30,0,1289
14900,0,300.82,0.0,0.0,5,2018,7,9,21,2633
14901,0,284.23,2.54,0.0,1,2018,9,6,8,5996
14902,0,250.4,0.0,0.0,1,2014,1,27,13,3675
14903,0,279.06,0.0,0.0,40,2012,10,5,23,1832
14904,0,285.64,0.0,0.0,1,2016,7,2,3,373
14905,0,278.42,0.0,0.0,1,2017,5,5,5,2743
14906,0,298.48,0.0,0.0,75,2017,7,8,13,4126
14907,0,297.36,0.0,0.0,20,2018,5,4,18,5024
14908,0,260.34,0.0,0.0,1,2016,12,14,3,486
14909,0,293.55,0.0,0.0,1,2013,5,8,11,4807
14910,0,295.69,0.0,0.0,75,2018,7,5,1,476
14911,0,291.99,0.0,0.0,1,2015,7,30,2,342
14912,0,281.22,0.0,0.0,1,2017,12,3,15,4892
